id,no,tanggal_aduan,judul_klaim,aduanpantauan,jenis_materi,topik,sub_topik,lokasi,sub_lokasi,jenis_dismis_informasi,sumber_hoaks,kanal_aduan,media_rujukan
42,42,17/01/2022,PESAN SUARA PERINGATAN GEMPA SUSULAN DAN TSUNAMI DI PALABUHAN RATU,PANTAUAN,AUDIO,BENCANA ALAM,TSUNAMI,JAWA BARAT,KABUPATEN SUKABUMI,FABRICATED CONTENT,WHATSAPP,WHATSAPP,"INSTAGRAMBMKGBANDUNG, CNNINDONESIA"
43,43,17/01/2022,PERMEN YUPI TERBUAT DARI KULIT BABI,PANTAUAN,VIDEO,PANGAN,PRODUK,NASIONAL,NASIONAL,FABRICATED CONTENT,TIKTOK,FACEBOOK,"MEDCOM, SUARA, TIMESINDONESIA"
44,44,17/01/2022,VIDEO PERISTIWA GEMPA DI BANTEN PADA 14 JANUARI 2022,ADUAN,VIDEO,BENCANA ALAM,GEMPA BUMI,NASIONAL,NASIONAL,FALSE CONTEXT,WHATSAPP,WHATSAPP,0
45,45,17/01/2022,POTENSI GEMPA 8.7M JAKARTA DAN SEKITARNYA DALAM BAHAYA,ADUAN,TEXT,BENCANA ALAM,GEMPA BUMI,NASIONAL,NASIONAL,BENAR,WHATSAPP,INSTAGRAM,BMKG
46,46,17/01/2022,VIDEO PERISTIWA GEMPA DI BANTEN PADA 14 JANUARI 2022,ADUAN,VIDEO,BENCANA ALAM,GEMPA BUMI,NASIONAL,NASIONAL,FALSE CONTEXT,WHATSAPP,WHATSAPP,"LIPUTAN6, JAREDSURYAPERMANA"
47,47,17/01/2022,PESAN MELALU WA AJAKAN UNTUK MENGISI LINK VAKSIN KE-3/BOOSTER DI RUMAH SAKIT JANGAN MAU KARENA ITU PENIPUAN,ADUAN,TEXT,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,0
48,48,17/01/2022,VAKSIN BOOSTER BERBAYAR UNTUK MASYARAKAT YANG TIDAK PUNYA KARTU BPJS KESEHATAN,PANTAUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,MISLEADING CONTENT,FACEBOOK,FACEBOOK,"KOMPAS, TWITTERJOKOWI, KOMINFO"
49,49,17/01/2022,PESAN MELALU WA AJAKAN UNTUK MENGISI LINK VAKSIN KE-3/BOOSTER DI RUMAH SAKIT JANGAN MAU KARENA ITU PENIPUAN,ADUAN,TEXT,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,0
50,50,17/01/2022,UNDANGAN RAPAT PENINGKATAN KINERJA TENAGA MEDIS OLEH KADIS DINKES KOTA BANDUNG PADA BULAN JANUARI 2022,PANTAUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,KOTA BANDUNG,FABRICATED CONTENT,SMS,WHATSAPP,INSTAGRAMAHYANIRAKSANAGARA
51,51,17/01/2022,PESAN MELALU WA AJAKAN UNTUK MENGISI LINK VAKSIN KE-3/BOOSTER DI RUMAH SAKIT JANGAN MAU KARENA ITU PENIPUAN,ADUAN,TEXT,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,DETIK
